Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
UgwLCferlZ3syQXn6d54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-13T05:57:21.019638+00:00,0,,,MfHk_93x8_0,"{""text"":""BUCKLE UP BITCHES. I can already tell from the comments and tweets this is gonna be a wacky one.""}",
Ugw9WA-tRhA7MmfmcOd4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-12T15:36:29.112208+00:00,0,,,eWFHfNBvDLM,"{""text"":""WHERE TO DOWNLOAD??""}",
UgygLH893b1NQCDtw2h4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-11T03:50:32.536517+00:00,0,,,w51k6atI3tA,"{""text"":""Brian is a pompous ass in Family Guy and is an exaggerated version of all of Seth MacFarlane's worst traits.""},{""text"":""\n""},{""text"":""Seth is parodying himself.""}",
UgyJ6nCoJGbSGb80QDR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-11T03:33:19.680757+00:00,0,,,Ce6TAu6b4ek,"{""text"":""Oldschool Elsa-gate""}",
UgzRBinLKxoC6-V-E8p4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-09T19:46:04.317955+00:00,0,,,JUabUTqMgpM,"{""text"":""I don't feel so good Philly D.""}",
UgzBNFmM34AuC7-Lh6h4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-08T21:48:08.235977+00:00,0,,,1YEatC1v8Rs,"{""text"":""i love everybody""}",
UgzveejkeP0Y443bOPV4AaABAg.8hF7evfOAST8hFMvNcbE9_,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-08T21:38:53.399159+00:00,0,UgzveejkeP0Y443bOPV4AaABAg,,Kjyo2u7Ikkk,"{""text"":""YouTube is a streaming service. They are just taking the \""You\"" out of the equation. They've been doing this for years to people like Rucka Rucka Ali.""}",UgzveejkeP0Y443bOPV4AaABAg
Ugyu2tGMLqOkaytJwAt4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-08T18:51:56.365045+00:00,0,,,k8istloA2eQ,"{""text"":""Ironically this video only has 55K views. YouTube is burying this one too.""}",
UgxEnf6FIvFxGimfg9d4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-08T18:33:42.405163+00:00,0,,,3cV-JsSjqVI,"{""text"":""515th comment.""}",
UgzUkUPmSKZ75YNX-c14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-06T23:52:14.760675+00:00,0,,,w5gbHSfbiK4,"{""text"":""HQ VIDEO wowweee""}",
Ugz-U20r7zCRe-veI9d4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-02T23:41:02.19569+00:00,0,,,JE-XCS6yaiE,"{""text"":""Good fucking luck using Honey in Canada BITCH""}",
UgyoJcg8Y0r-OXcucZx4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-02T01:02:20.025508+00:00,0,,,wG5JyorwYPo,"{""text"":""LSD \""and\"" Acid""}",
UgyQFRrzHH-3FGmD12l4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-01T22:14:30.191574+00:00,0,,,tt9jaas0vyY,"{""text"":""So morale of the story is even with all your \""harm reduction and safety\"" knowledge you still get into crazy fucking dangerous situations with other drugs involved i.e. \""Matt\"" being on coke. I'm sorry if it sounds judgmental I love your videos, but I can understand why you are getting flack from YouTube. You do glorify drugs, just in a smart way. They're all a mixed bag. Epic story though, pray to God the joker doesn't find you. ;)""}",
Ugy8IEO1pL31Yn5auRJ4AaABAg.8gpo0VC0yxs8gyKDPUqXEf,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-01T21:28:56.659527+00:00,0,Ugy8IEO1pL31Yn5auRJ4AaABAg.8gpo0VC0yxs8gpoWhA19Z0,,our6FmJKrmI,"{""text"":""Being addicted to LSD sounds like insanity.""}",Ugy8IEO1pL31Yn5auRJ4AaABAg
UgwWBTkknWamq8BVjRx4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-01T21:03:35.836667+00:00,0,,,qVMPj59rMv0,"{""text"":""Everytime I do acid, you guys post a video about drugs. Love it.""}",
Ugyx6EOcHknBZNjE_w54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-01T20:03:59.02541+00:00,0,,,mr4Ek08FEFs,"{""text"":""fuck""}",
UgxRN7cVkta3iZnq6wR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-01T18:04:56.985148+00:00,0,,,68JpPpSc7bs,"{""text"":""who is on acid right now?""}",
UgzJ8l9ODJdAZHT1f4J4AaABAg.8gxjUWx-e3Q8gxtynMgWJG,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-01T17:30:53.003644+00:00,0,UgzJ8l9ODJdAZHT1f4J4AaABAg,,w53VTi25-xA,"{""text"":""Through the miracle of science!""}",UgzJ8l9ODJdAZHT1f4J4AaABAg
UgwQTFoF4yH8O9gJVIZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-01T17:09:52.940653+00:00,0,,,FfHSRXd6s2o,"{""text"":""RIP FUCKING ANYONE WITH EARS""}",
Ugzx7CHs6yyrezmGfp14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-05-31T13:56:31.544221+00:00,0,,,J1c2KzJbcGA,"{""text"":""Bart Chrystler sent me.""},{""text"":""\n""},{""text"":""You remind me of Hot Dad.""}",
Ugwzl9TIoxyrV4oZhhd4AaABAg.8gulb3tjhwC8gumXDMkUo-,UCn3WLZT7k8nO24XimlJVJVQ,2018-05-31T12:28:05.570092+00:00,0,Ugwzl9TIoxyrV4oZhhd4AaABAg,,qknSDmoI64M,"{""text"":""I just had to remove the flags and it's fixed.""}",Ugwzl9TIoxyrV4oZhhd4AaABAg
Ugwzl9TIoxyrV4oZhhd4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-05-31T12:20:01.268325+00:00,0,,,qknSDmoI64M,"{""text"":""Thanks a lot Leo. I already had the \""progressive app\"" look for YouTube, Twitch, Google Play Music, etc, after I enabled all those flags now they won't open as apps.""}",
UgxlOcaqcrPeTmyDvtF4AaABAg.8gtJEWe1L3q8gtJLvraGRy,UCn3WLZT7k8nO24XimlJVJVQ,2018-05-30T22:45:10.026093+00:00,0,UgxlOcaqcrPeTmyDvtF4AaABAg,,MkZkUpwMDcw,"{""text"":""What year is this?!""}",UgxlOcaqcrPeTmyDvtF4AaABAg
UgxlOcaqcrPeTmyDvtF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-05-30T22:44:09.556865+00:00,0,,,MkZkUpwMDcw,"{""text"":""Who are these boys? Where is Ringus?""}",
UgysNCCVS_9qChTOgk54AaABAg.8grQwbYuvoh8grRvxgCoqZ,UCn3WLZT7k8nO24XimlJVJVQ,2018-05-30T05:21:38.796534+00:00,0,UgysNCCVS_9qChTOgk54AaABAg,,0rzG7cv2Yow,"{""text"":""I heard the next feature they're going to automatically upload your video to anyone who owns 1 second of content shown in your video.""},{""text"":""\n""},{""text"":""It's called WTFU stands for We Think For U.""}",UgysNCCVS_9qChTOgk54AaABAg
